PaisID,CodigoISO3,Nome,Regiao,SubRegiao,Renda,TipoFinanciamento,Capital,Latitude,Longitude
1,ABW,Aruba,Latin America & Caribbean ,,High income,Not classified,Oranjestad,12.5167,-70.0167
2,AFG,Afghanistan,South Asia,South Asia,Low income,IDA,Kabul,34.5228,69.1761
3,AGO,Angola,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IBRD,Luanda,-8.81155,13.242
4,ALB,Albania,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Tirane,41.3317,19.8172
5,AND,Andorra,Europe & Central Asia,,High income,Not classified,Andorra la Vella,42.5075,1.5218
6,ARE,United Arab Emirates,Middle East & North Africa,,High income,Not classified,Abu Dhabi,24.4764,54.3705
7,ARG,Argentina,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Buenos Aires,-34.6118,-58.4173
8,ARM,Armenia,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Yerevan,40.1596,44.509
9,ASM,American Samoa,East Asia & Pacific,,High income,Not classified,Pago Pago,-14.2846,-170.691
10,ATG,Antigua and Barbuda,Latin America & Caribbean ,,High income,IBRD,Saint John's,17.1175,-61.8456
11,AUS,Australia,East Asia & Pacific,,High income,Not classified,Canberra,-35.282,149.129
12,AUT,Austria,Europe & Central Asia,,High income,Not classified,Vienna,48.2201,16.3798
13,AZE,Azerbaijan,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Baku,40.3834,49.8932
14,BDI,Burundi,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Bujumbura,-3.3784,29.3639
15,BEL,Belgium,Europe & Central Asia,,High income,Not classified,Brussels,50.8371,4.36761
16,BEN,Benin,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IDA,Porto-Novo,6.4779,2.6323
17,BFA,Burkina Faso,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Ouagadougou,12.3605,-1.53395
18,BGD,Bangladesh,South Asia,South Asia,Lower middle income,IDA,Dhaka,23.7055,90.4113
19,BGR,Bulgaria,Europe & Central Asia,,High income,IBRD,Sofia,42.7105,23.3238
20,BHR,Bahrain,Middle East & North Africa,,High income,Not classified,Manama,26.1921,50.5354
21,BHS,"Bahamas, The",Latin America & Caribbean ,,High income,Not classified,Nassau,25.0661,-77.339
22,BIH,Bosnia and Herzegovina,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Sarajevo,43.8607,18.4214
23,BLR,Belarus,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Minsk,53.9678,27.5766
24,BLZ,Belize,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,Blend,Belmopan,17.2534,-88.7713
25,BMU,Bermuda,North America,,High income,Not classified,Hamilton,32.3293,-64.706
26,BOL,Bolivia,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Lower middle income,IBRD,La Paz,-13.9908,-66.1936
27,BRA,Brazil,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Brasilia,-15.7801,-47.9292
28,BRB,Barbados,Latin America & Caribbean ,,High income,IBRD,Bridgetown,13.0935,-59.6105
29,BRN,Brunei Darussalam,East Asia & Pacific,,High income,Not classified,Bandar Seri Begawan,4.94199,114.946
30,BTN,Bhutan,South Asia,South Asia,Lower middle income,IDA,Thimphu,27.5768,89.6177
31,BWA,Botswana,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Upper middle income,IBRD,Gaborone,-24.6544,25.9201
32,CAF,Central African Republic,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Bangui,5.63056,21.6407
33,CAN,Canada,North America,,High income,Not classified,Ottawa,45.4215,-75.6919
34,CHE,Switzerland,Europe & Central Asia,,High income,Not classified,Bern,46.948,7.44821
35,CHI,Channel Islands,Europe & Central Asia,,High income,Not classified,,,
36,CHL,Chile,Latin America & Caribbean ,,High income,IBRD,Santiago,-33.475,-70.6475
37,CHN,China,East Asia & Pacific,East Asia & Pacific (excluding high income),Upper middle income,IBRD,Beijing,40.0495,116.286
38,CIV,Cote d'Ivoire,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IDA,Yamoussoukro,5.332,-4.0305
39,CMR,Cameroon,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,Blend,Yaounde,3.8721,11.5174
40,COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Kinshasa,-4.325,15.3222
41,COG,"Congo, Rep.",Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,Blend,Brazzaville,-4.2767,15.2662
42,COL,Colombia,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Bogota,4.60987,-74.082
43,COM,Comoros,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IDA,Moroni,-11.6986,43.2418
44,CPV,Cabo Verde,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,Blend,Praia,14.9218,-23.5087
45,CRI,Costa Rica,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,San Jose,9.63701,-84.0089
46,CUB,Cuba,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,Not classified,Havana,23.1333,-82.3667
47,CUW,Curacao,Latin America & Caribbean ,,High income,Not classified,Willemstad,,
48,CYM,Cayman Islands,Latin America & Caribbean ,,High income,Not classified,George Town,19.3022,-81.3857
49,CYP,Cyprus,Europe & Central Asia,,High income,Not classified,Nicosia,35.1676,33.3736
50,CZE,Czechia,Europe & Central Asia,,High income,Not classified,Prague,50.0878,14.4205
51,DEU,Germany,Europe & Central Asia,,High income,Not classified,Berlin,52.5235,13.4115
52,DJI,Djibouti,Middle East & North Africa,Middle East & North Africa (excluding high income),Lower middle income,IDA,Djibouti,11.5806,43.1425
53,DMA,Dominica,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,Blend,Roseau,15.2976,-61.39
54,DNK,Denmark,Europe & Central Asia,,High income,Not classified,Copenhagen,55.6763,12.5681
55,DOM,Dominican Republic,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Santo Domingo,18.479,-69.8908
56,DZA,Algeria,Middle East & North Africa,Middle East & North Africa (excluding high income),Upper middle income,IBRD,Algiers,36.7397,3.05097
57,ECU,Ecuador,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Quito,-0.229498,-78.5243
