YEAR,Value,ISO3_Code,WB_Code
2021,0.0275726826443453,ABW,NV.AGR.TOTL.ZS
2020,0.0275726826443453,ABW,NV.AGR.TOTL.ZS
2019,0.0275726826443453,ABW,NV.AGR.TOTL.ZS
2018,0.0222530297372096,ABW,NV.AGR.TOTL.ZS
2017,0.0239185699152083,ABW,NV.AGR.TOTL.ZS
2016,0.0186117680674113,ABW,NV.AGR.TOTL.ZS
2015,0.0125197884306596,ABW,NV.AGR.TOTL.ZS
2014,0.0148129732019303,ABW,NV.AGR.TOTL.ZS
2013,0.0178174595128952,ABW,NV.AGR.TOTL.ZS
2012,0.0214687486582032,ABW,NV.AGR.TOTL.ZS
2011,0.0203949029261921,ABW,NV.AGR.TOTL.ZS
2010,0.0204920878910203,ABW,NV.AGR.TOTL.ZS
2009,0.0199068534264945,ABW,NV.AGR.TOTL.ZS
2008,0.0169973987102413,ABW,NV.AGR.TOTL.ZS
2007,0.0178385963799542,ABW,NV.AGR.TOTL.ZS
2006,0.0175077037289373,ABW,NV.AGR.TOTL.ZS
2005,0.0173277773977134,ABW,NV.AGR.TOTL.ZS
2004,0.0175662581169615,ABW,NV.AGR.TOTL.ZS
2003,0.0180105822419485,ABW,NV.AGR.TOTL.ZS
2002,0.0180539339920836,ABW,NV.AGR.TOTL.ZS
2001,0.0186174866510853,ABW,NV.AGR.TOTL.ZS
2000,0.0186075360521011,ABW,NV.AGR.TOTL.ZS
1999,0.383268482490272,ABW,NV.AGR.TOTL.ZS
1998,0.407916806440792,ABW,NV.AGR.TOTL.ZS
1997,0.429978118161926,ABW,NV.AGR.TOTL.ZS
1996,0.48582995951417,ABW,NV.AGR.TOTL.ZS
1995,0.505922165820643,ABW,NV.AGR.TOTL.ZS
1994,0.505922165820643,ABW,NV.AGR.TOTL.ZS
1993,0.505922165820643,ABW,NV.AGR.TOTL.ZS
1992,0.505922165820643,ABW,NV.AGR.TOTL.ZS
1991,0.505922165820643,ABW,NV.AGR.TOTL.ZS
1990,0.505922165820643,ABW,NV.AGR.TOTL.ZS
2021,33.5976188725451,AFG,NV.AGR.TOTL.ZS
2020,29.9755825210461,AFG,NV.AGR.TOTL.ZS
2019,25.7739707394105,AFG,NV.AGR.TOTL.ZS
2018,22.0428967527575,AFG,NV.AGR.TOTL.ZS
2017,26.4201990834448,AFG,NV.AGR.TOTL.ZS
2016,25.7403140364582,AFG,NV.AGR.TOTL.ZS
2015,20.6343227166798,AFG,NV.AGR.TOTL.ZS
2014,22.1370413719574,AFG,NV.AGR.TOTL.ZS
2013,22.8106627361766,AFG,NV.AGR.TOTL.ZS
2012,24.390873626371,AFG,NV.AGR.TOTL.ZS
2011,23.7436639877543,AFG,NV.AGR.TOTL.ZS
2010,26.2100685374552,AFG,NV.AGR.TOTL.ZS
2009,29.2975010547259,AFG,NV.AGR.TOTL.ZS
2008,24.8922700059742,AFG,NV.AGR.TOTL.ZS
2007,30.1050113574013,AFG,NV.AGR.TOTL.ZS
2006,28.6359685844686,AFG,NV.AGR.TOTL.ZS
2005,31.114854912062,AFG,NV.AGR.TOTL.ZS
2004,29.7210671376957,AFG,NV.AGR.TOTL.ZS
2003,37.4188554431481,AFG,NV.AGR.TOTL.ZS
2002,38.6278918638443,AFG,NV.AGR.TOTL.ZS
2001,38.6278918638443,AFG,NV.AGR.TOTL.ZS
2000,38.6278918638443,AFG,NV.AGR.TOTL.ZS
1999,38.6278918638443,AFG,NV.AGR.TOTL.ZS
1998,38.6278918638443,AFG,NV.AGR.TOTL.ZS
1997,38.6278918638443,AFG,NV.AGR.TOTL.ZS
1996,38.6278918638443,AFG,NV.AGR.TOTL.ZS
1995,38.6278918638443,AFG,NV.AGR.TOTL.ZS
1994,38.6278918638443,AFG,NV.AGR.TOTL.ZS
1993,38.6278918638443,AFG,NV.AGR.TOTL.ZS
1992,38.6278918638443,AFG,NV.AGR.TOTL.ZS
1991,38.6278918638443,AFG,NV.AGR.TOTL.ZS
1990,38.6278918638443,AFG,NV.AGR.TOTL.ZS
2021,11.4863453766476,AGO,NV.AGR.TOTL.ZS
2020,9.94654357144815,AGO,NV.AGR.TOTL.ZS
2019,7.88262506936516,AGO,NV.AGR.TOTL.ZS
2018,8.60774180183334,AGO,NV.AGR.TOTL.ZS
2017,10.0169959653141,AGO,NV.AGR.TOTL.ZS
2016,9.83116886032956,AGO,NV.AGR.TOTL.ZS
2015,9.12253437222206,AGO,NV.AGR.TOTL.ZS
2014,7.5470567791822,AGO,NV.AGR.TOTL.ZS
2013,6.50749231982044,AGO,NV.AGR.TOTL.ZS
2012,6.06962999112471,AGO,NV.AGR.TOTL.ZS
2011,5.84568087986773,AGO,NV.AGR.TOTL.ZS
2010,6.18029349810839,AGO,NV.AGR.TOTL.ZS
2009,6.62119676383424,AGO,NV.AGR.TOTL.ZS
2008,4.80533933843347,AGO,NV.AGR.TOTL.ZS
2007,5.24227833734658,AGO,NV.AGR.TOTL.ZS
2006,5.19128018876127,AGO,NV.AGR.TOTL.ZS
2005,5.06040294790886,AGO,NV.AGR.TOTL.ZS
2004,6.25087790478717,AGO,NV.AGR.TOTL.ZS
2003,6.19838450193387,AGO,NV.AGR.TOTL.ZS
2002,5.8395499748266,AGO,NV.AGR.TOTL.ZS
2001,8.15637702246655,AGO,NV.AGR.TOTL.ZS
2000,5.66468956353548,AGO,NV.AGR.TOTL.ZS
1999,6.29025682837342,AGO,NV.AGR.TOTL.ZS
1998,12.9111824086392,AGO,NV.AGR.TOTL.ZS
1997,9.00201794169947,AGO,NV.AGR.TOTL.ZS
1996,7.02686916586973,AGO,NV.AGR.TOTL.ZS
1995,6.65321372200356,AGO,NV.AGR.TOTL.ZS
1994,6.65321372200356,AGO,NV.AGR.TOTL.ZS
1993,6.65321372200356,AGO,NV.AGR.TOTL.ZS
1992,6.65321372200356,AGO,NV.AGR.TOTL.ZS
1991,6.65321372200356,AGO,NV.AGR.TOTL.ZS
1990,6.65321372200356,AGO,NV.AGR.TOTL.ZS
2021,17.7932042707089,ALB,NV.AGR.TOTL.ZS
2020,18.8061378645762,ALB,NV.AGR.TOTL.ZS
2019,18.1604049243108,ALB,NV.AGR.TOTL.ZS
2018,17.9155539877413,ALB,NV.AGR.TOTL.ZS
2017,19.0221266422351,ALB,NV.AGR.TOTL.ZS
2016,19.8499944651163,ALB,NV.AGR.TOTL.ZS
2015,19.7802144171366,ALB,NV.AGR.TOTL.ZS
2014,19.9901813581977,ALB,NV.AGR.TOTL.ZS
2013,19.5651578123229,ALB,NV.AGR.TOTL.ZS
2012,18.7668018946422,ALB,NV.AGR.TOTL.ZS
2011,18.2267896025292,ALB,NV.AGR.TOTL.ZS
2010,17.9558663972347,ALB,NV.AGR.TOTL.ZS
2009,16.7943836018798,ALB,NV.AGR.TOTL.ZS
2008,16.8370538440754,ALB,NV.AGR.TOTL.ZS
2007,17.1536195739533,ALB,NV.AGR.TOTL.ZS
2006,17.7083536239523,ALB,NV.AGR.TOTL.ZS
2005,18.8453087247237,ALB,NV.AGR.TOTL.ZS
2004,20.537486307981,ALB,NV.AGR.TOTL.ZS
2003,21.9782570845961,ALB,NV.AGR.TOTL.ZS
2002,22.0251140879353,ALB,NV.AGR.TOTL.ZS
2001,22.7161641958722,ALB,NV.AGR.TOTL.ZS
2000,24.5154120419235,ALB,NV.AGR.TOTL.ZS
1999,25.9187455195517,ALB,NV.AGR.TOTL.ZS
1998,28.7856504386147,ALB,NV.AGR.TOTL.ZS
1997,31.5434438797069,ALB,NV.AGR.TOTL.ZS
1996,36.410863772173,ALB,NV.AGR.TOTL.ZS
1995,36.410863772173,ALB,NV.AGR.TOTL.ZS
1994,36.410863772173,ALB,NV.AGR.TOTL.ZS
1993,36.410863772173,ALB,NV.AGR.TOTL.ZS
1992,36.410863772173,ALB,NV.AGR.TOTL.ZS
1991,36.410863772173,ALB,NV.AGR.TOTL.ZS
1990,36.410863772173,ALB,NV.AGR.TOTL.ZS
2021,0.531844879169824,AND,NV.AGR.TOTL.ZS
2020,0.559442769715814,AND,NV.AGR.TOTL.ZS
2019,0.522633248415779,AND,NV.AGR.TOTL.ZS
2018,0.546367882815281,AND,NV.AGR.TOTL.ZS
2017,0.559538512516191,AND,NV.AGR.TOTL.ZS
2016,0.521999648433619,AND,NV.AGR.TOTL.ZS
2015,0.513420109683398,AND,NV.AGR.TOTL.ZS
2014,0.537623493009676,AND,NV.AGR.TOTL.ZS
2013,0.585558984254785,AND,NV.AGR.TOTL.ZS
2012,0.601164453935572,AND,NV.AGR.TOTL.ZS
2011,0.490560827241276,AND,NV.AGR.TOTL.ZS
2010,0.466508601972863,AND,NV.AGR.TOTL.ZS
2009,0.418928933319218,AND,NV.AGR.TOTL.ZS
2008,0.406917963904405,AND,NV.AGR.TOTL.ZS
2007,0.368796683946436,AND,NV.AGR.TOTL.ZS
2006,0.353522338328863,AND,NV.AGR.TOTL.ZS
2005,0.380576808035011,AND,NV.AGR.TOTL.ZS
2004,0.414741997881256,AND,NV.AGR.TOTL.ZS
2003,0.419117893036526,AND,NV.AGR.TOTL.ZS
2002,0.385887245890569,AND,NV.AGR.TOTL.ZS
