ano,topic_code,pais,codigo_pais
2024,,Czechia,CZ
2023,31591.1770732969,Czechia,CZ
2022,28282.2236715857,Czechia,CZ
2021,27696.4619527544,Czechia,CZ
2020,23472.8915454417,Czechia,CZ
2019,24062.7190013343,Czechia,CZ
2018,23705.9329811299,Czechia,CZ
2017,20913.197632212,Czechia,CZ
2016,18753.9686718096,Czechia,CZ
2015,17931.5987670768,Czechia,CZ
2014,20038.4163180257,Czechia,CZ
2013,20260.4954999375,Czechia,CZ
2012,20014.0354015165,Czechia,CZ
2011,22049.1080788682,Czechia,CZ
2010,20160.4355077059,Czechia,CZ
2009,19817.4215836554,Czechia,CZ
2008,22774.7045076205,Czechia,CZ
2007,18452.6532812196,Czechia,CZ
2006,15259.0788162004,Czechia,CZ
2005,13442.4916284309,Czechia,CZ
2004,11782.5546676117,Czechia,CZ
2003,9852.45677945801,Czechia,CZ
2002,8101.26018588111,Czechia,CZ
2001,6669.07494847497,Czechia,CZ
2000,6062.92152842793,Czechia,CZ
